CATEGORY,SUBCATEGORY,BRAND,PRODUCT DESCRIPTION,SERVICE DESCRIPTION,SERVICE CATEGORY,PRODUCT/SERVICE PART NUMBER, MSRP ,DIR Customer Discount % off MSRP, DIR Customer Price* ,AVERAGE BRAND DISCOUNT,Fortinet Discount Category,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,N/A,Fortinet,N/A,FortiAuthenticator - VM License 24x7 FortiCare Contract (1 - 10100 USERS),Software Maintenance ,FC4-10-0ACVM-248-02-36," $8,457.75 ",15.00%," $7,243.01 ",,C,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,N/A,Fortinet,N/A,FortiAuthenticator - VM License 24x7 FortiCare Contract (1 - 10100 USERS),Software Maintenance ,FC4-10-0ACVM-248-02-60," $14,096.25 ",15.00%," $12,071.68 ",,C,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,N/A,Fortinet,N/A,FortiAuthenticator - VM License 24x7 FortiCare Contract (1 - 25100 USERS),Software Maintenance ,FC8-10-0ACVM-248-02-12," $6,828.00 ",15.00%," $5,847.33 ",,C,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,N/A,Fortinet,N/A,FortiAuthenticator - VM License 24x7 FortiCare Contract (1 - 25100 USERS),Software Maintenance ,FC8-10-0ACVM-248-02-36," $17,923.50 ",15.00%," $15,349.24 ",,C,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,N/A,Fortinet,N/A,FortiAuthenticator - VM License 24x7 FortiCare Contract (1 - 25100 USERS),Software Maintenance ,FC8-10-0ACVM-248-02-60," $29,872.50 ",15.00%," $25,582.06 ",,C,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,N/A,Fortinet,N/A,FortiAuthenticator - VM License 24x7 FortiCare Contract (1 - 50100 USERS),Software Maintenance ,FC5-10-0ACVM-248-02-12," $11,277.00 ",15.00%," $9,657.34 ",,C,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,N/A,Fortinet,N/A,FortiAuthenticator - VM License 24x7 FortiCare Contract (1 - 50100 USERS),Software Maintenance ,FC5-10-0ACVM-248-02-36," $29,602.13 ",15.00%," $25,350.52 ",,C,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,N/A,Fortinet,N/A,FortiAuthenticator - VM License 24x7 FortiCare Contract (1 - 50100 USERS),Software Maintenance ,FC5-10-0ACVM-248-02-60," $49,336.88 ",15.00%," $42,250.87 ",,C,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,N/A,Fortinet,N/A,FortiAuthenticator - VM License 24x7 FortiCare Contract (1 - 100100 USERS),Software Maintenance ,FC6-10-0ACVM-248-02-12," $22,554.00 ",15.00%," $19,314.68 ",,C,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,N/A,Fortinet,N/A,FortiAuthenticator - VM License 24x7 FortiCare Contract (1 - 100100 USERS),Software Maintenance ,FC6-10-0ACVM-248-02-36," $59,204.25 ",15.00%," $50,701.04 ",,C,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,N/A,Fortinet,N/A,FortiAuthenticator - VM License 24x7 FortiCare Contract (1 - 100100 USERS),Software Maintenance ,FC6-10-0ACVM-248-02-60," $98,673.75 ",15.00%," $84,501.73 ",,C,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,N/A,Fortinet,N/A,FortiAuthenticator - VM License 24x7 FortiCare Contract (1 - 500100 USERS),Software Maintenance ,FC9-10-0ACVM-248-02-12," $79,200.00 ",15.00%," $67,824.90 ",,C,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,N/A,Fortinet,N/A,FortiAuthenticator - VM License 24x7 FortiCare Contract (1 - 500100 USERS),Software Maintenance ,FC9-10-0ACVM-248-02-36," $207,900.00 ",15.00%," $178,040.36 ",,C,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,N/A,Fortinet,N/A,FortiAuthenticator - VM License 24x7 FortiCare Contract (1 - 500100 USERS),Software Maintenance ,FC9-10-0ACVM-248-02-60," $346,500.00 ",15.00%," $296,733.94 ",,C,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,N/A,Fortinet,N/A,FortiAuthenticator - VM License 24x7 FortiCare Contract (1 - 1M USERS),Software Maintenance ,FC7-10-0ACVM-248-02-12," $135,996.00 ",15.00%," $116,463.57 ",,C,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,N/A,Fortinet,N/A,FortiAuthenticator - VM License 24x7 FortiCare Contract (1 - 1M USERS),Software Maintenance ,FC7-10-0ACVM-248-02-36," $356,989.50 ",15.00%," $305,716.88 ",,C,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,N/A,Fortinet,N/A,FortiAuthenticator - VM License 24x7 FortiCare Contract (1 - 1M USERS),Software Maintenance ,FC7-10-0ACVM-248-02-60," $594,982.50 ",15.00%," $509,528.14 ",,C,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Perpetual License,Fortinet,"FortiClient USG License (Perpetual) FortiClient License for FIPS-certified VPN client, supports up to 10 clients.",N/A,N/A,FCT-USG-10-LIC, $50.00 ,15.00%, $42.82 ,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Perpetual License,Fortinet,"FortiClient USG License (Perpetual) FortiClient License for FIPS-certified VPN client, supports up to 50 clients.",N/A,N/A,FCT-USG-50-LIC, $250.00 ,15.00%, $214.09 ,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Perpetual License,Fortinet,"FortiClient USG License (Perpetual) FortiClient License for FIPS-certified VPN client, supports up to 100 clients.",N/A,N/A,FCT-USG-100-LIC, $500.00 ,15.00%, $428.19 ,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Perpetual License,Fortinet,"FortiClient USG License (Perpetual) FortiClient License for FIPS-certified VPN client, supports up to 1,000 clients.",N/A,N/A,FCT-USG-1000-LIC," $5,000.00 ",15.00%," $4,281.88 ",,C,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Perpetual License,Fortinet,FortiClient Chromebook Enterprise Management Server License for 100 users Chromebook Enterprise Management Server License subscription for 100 ChromeOS users. Includes 24x7 support,N/A,N/A,FC1-15-EMS02-158-02-12, $500.00 ,15.00%, $428.19 ,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Perpetual License,Fortinet,FortiClient Chromebook Enterprise Management Server License for 100 users Chromebook Enterprise Management Server License subscription for 100 ChromeOS users. Includes 24x7 support,N/A,N/A,FC1-15-EMS02-158-02-36," $1,312.50 ",15.00%," $1,123.99 ",,E,,,,,,,,,,,,,,,,,,,,,,,,,,,
Network Security,Software - Perpetual License,Fortinet,FortiClient Chromebook Enterprise Management Server License for 100 users Chromebook Enterprise Management Server License subscription for 100 ChromeOS users. Includes 24x7 support,N/A,N/A,FC1-15-EMS02-158-02-60," $2,187.50 ",15.00%," $1,873.32 ",,E,,,,,,,,,,,,,,,,,,,,,,,,,,,
